Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
7/1/17,36735,107126,235852,2814,366
7/2/17,43032,128397,240146,4294,457
7/3/17,48192,130240,243372,3226,307
7/4/17,49919,146441,248271,4899,315
7/5/17,60318,149487,250129,1858,267
7/6/17,62144,140767,251764,1635,264
7/7/17,44067,103656,253039,1275,216
7/8/17,55013,146438,257153,4114,332
7/9/17,57114,159914,261592,4439,338
7/10/17,60904,141463,263124,1532,355
7/11/17,61666,141463,264379,1255,224
7/12/17,61782,132874,265740,1361,174
7/13/17,56464,126527,267040,1300,178
7/14/17,31845,70477,267607,567,101
7/15/17,56494,148067,272325,4718,378
7/1/17,36735,107126,235852,2814,366
7/2/17,43032,128397,240146,4294,457
7/3/17,48192,130240,243372,3226,307
7/4/17,49919,146441,248271,4899,315
7/5/17,60318,149487,250129,1858,267
7/6/17,62144,140767,251764,1635,264
7/7/17,44067,103656,253039,1275,216
7/8/17,55013,146438,257153,4114,332
7/9/17,57114,159914,261592,4439,338
7/10/17,60904,141463,263124,1532,355
7/11/17,61666,141463,264379,1255,224
7/12/17,61782,132874,265740,1361,174
7/13/17,56464,126527,267040,1300,178
7/14/17,31845,70477,267607,567,101
7/15/17,56494,148067,272325,4718,378
